variable,group,value
1895,1,-0.455
1895,2,-0.45
1895,3,-0.411
1895,4,-0.277
1895,5,-0.323
1895,6,-0.28
1895,7,-0.209
1895,8,-0.291
1895,9,-0.332
1895,10,-0.217
1895,11,-0.191
1895,12,-0.179
1896,1,-0.216
1896,2,-0.266
1896,3,-0.451
1896,4,-0.443
1896,5,-0.276
1896,6,-0.141
1896,7,-0.104
1896,8,-0.1
1896,9,-0.182
1896,10,-0.037
1896,11,-0.269
1896,12,-0.088
1897,1,-0.167
1897,2,-0.271
1897,3,-0.283
1897,4,-0.057
1897,5,-0.014
1897,6,-0.168
1897,7,-0.186
1897,8,-0.206
1897,9,-0.248
1897,10,-0.201
1897,11,-0.318
1897,12,-0.24
1898,1,-0.16
1898,2,-0.494
1898,3,-0.623
1898,4,-0.399
1898,5,-0.427
1898,6,-0.233
1898,7,-0.346
1898,8,-0.365
1898,9,-0.401
1898,10,-0.479
1898,11,-0.549
1898,12,-0.397
1899,1,-0.205
1899,2,-0.481
1899,3,-0.426
1899,4,-0.208
1899,5,-0.21
1899,6,-0.372
1899,7,-0.273
1899,8,-0.165
1899,9,-0.115
1899,10,-0.081
1899,11,0.012
1899,12,-0.267
1900,1,-0.41
1900,2,-0.006
1900,3,0.046
1900,4,-0.116
1900,5,-0.073
1900,6,-0.154
1900,7,-0.185
1900,8,-0.175
1900,9,-0.139
1900,10,0.04
1900,11,-0.211
1900,12,-0.119
1901,1,-0.276
1901,2,-0.081
1901,3,-0.014
1901,4,-0.036
1901,5,-0.17
1901,6,-0.234
1901,7,-0.267
1901,8,-0.198
1901,9,-0.287
1901,10,-0.289
1901,11,-0.298
1901,12,-0.242
1902,1,-0.278
1902,2,-0.072
1902,3,-0.386
1902,4,-0.325
1902,5,-0.388
1902,6,-0.359
1902,7,-0.319
1902,8,-0.354
1902,9,-0.381
1902,10,-0.424
1902,11,-0.558
1902,12,-0.502
1903,1,-0.254
1903,2,-0.156
1903,3,-0.3
1903,4,-0.499
1903,5,-0.469
1903,6,-0.558
1903,7,-0.47
1903,8,-0.57
1903,9,-0.625
1903,10,-0.562
1903,11,-0.558
1903,12,-0.52
1904,1,-0.655
1904,2,-0.665
1904,3,-0.502
1904,4,-0.547
1904,5,-0.553
1904,6,-0.523
1904,7,-0.545
1904,8,-0.515
1904,9,-0.617
1904,10,-0.496
1904,11,-0.282
1904,12,-0.331
1905,1,-0.34
1905,2,-0.612
1905,3,-0.309
1905,4,-0.376
1905,5,-0.302
1905,6,-0.338
1905,7,-0.365
1905,8,-0.284
1905,9,-0.351
1905,10,-0.312
1905,11,-0.187
1905,12,-0.267
1906,1,-0.338
1906,2,-0.321
1906,3,-0.116
1906,4,-0.036
1906,5,-0.289
1906,6,-0.257
1906,7,-0.335
1906,8,-0.281
1906,9,-0.34
1906,10,-0.178
1906,11,-0.395
1906,12,-0.145
1907,1,-0.406
1907,2,-0.551
1907,3,-0.277
1907,4,-0.344
1907,5,-0.518
1907,6,-0.481
1907,7,-0.422
1907,8,-0.431
1907,9,-0.409
1907,10,-0.234
1907,11,-0.543
1907,12,-0.454
1908,1,-0.412
1908,2,-0.27
1908,3,-0.591
1908,4,-0.479
1908,5,-0.299
1908,6,-0.332
1908,7,-0.362
1908,8,-0.484
1908,9,-0.369
1908,10,-0.479
1908,11,-0.664
1908,12,-0.56
1909,1,-0.766
1909,2,-0.482
1909,3,-0.568
1909,4,-0.559
1909,5,-0.521
1909,6,-0.491
1909,7,-0.52
1909,8,-0.354
1909,9,-0.482
1909,10,-0.454
1909,11,-0.414
1909,12,-0.484
1910,1,-0.379
1910,2,-0.464
1910,3,-0.533
1910,4,-0.439
1910,5,-0.356
1910,6,-0.42
1910,7,-0.425
1910,8,-0.411
1910,9,-0.437
1910,10,-0.391
1910,11,-0.625
1910,12,-0.729
1911,1,-0.67
1911,2,-0.638
1911,3,-0.611
1911,4,-0.495
1911,5,-0.533
1911,6,-0.501
1911,7,-0.49
1911,8,-0.472
1911,9,-0.495
1911,10,-0.256
1911,11,-0.315
1911,12,-0.268
1912,1,-0.222
1912,2,-0.213
1912,3,-0.434
1912,4,-0.168
1912,5,-0.25
1912,6,-0.224
1912,7,-0.516
1912,8,-0.589
1912,9,-0.667
1912,10,-0.646
1912,11,-0.491
1912,12,-0.493
1913,1,-0.528
1913,2,-0.495
1913,3,-0.448
1913,4,-0.345
1913,5,-0.415
1913,6,-0.483
1913,7,-0.429
1913,8,-0.357
1913,9,-0.42
1913,10,-0.354
1913,11,-0.303
1913,12,0
1914,1,0.002
1914,2,-0.241
1914,3,-0.331
1914,4,-0.315
1914,5,-0.215
1914,6,-0.239
1914,7,-0.304
1914,8,-0.216
1914,9,-0.27
1914,10,-0.021
1914,11,-0.18
1914,12,-0.026
1915,1,-0.23
1915,2,-0.124
1915,3,-0.022
1915,4,0.086
1915,5,0.008
1915,6,-0.199
1915,7,-0.211
1915,8,-0.127
1915,9,-0.22
